cycle,end_step,increment_mm,table_cumulative_mm,figure_interpolated_mm,figure_minus_table_mm
1,9,69.0,69.0,69.10578519094993,0.10578519094993055
2,17,117.8,186.8,187.26286500835167,0.4628650083516561
3,25,67.5,254.3,254.471570266115,0.1715702661149976
4,33,54.7,309.0,309.2141046921267,0.21410469212668204
5,41,49.3,358.3,358.2655371577075,-0.03446284229249841
6,49,48.1,406.40000000000003,407.3172453015465,0.9172453015464725
