panel,point_id,kind,x_pixel,y_pixel,mode,vertical_reading_pixels,horizontal_reading_pixels,x,published_ratio,reading_dx,reading_dy,diameter_ratio,thickness_ratio,yield_ratio,eq6b,eq6b_difference_percent,eq12a,eq12a_difference_percent,eq12b,eq12b_difference_percent,eq16,eq16_difference_percent,eq6b_delta_from_published_line,eq6b_line_residual_over_reading_envelope
11b,11b_FE_01,published_FE,152,855,A,4,2,0.2,1.0921052631578947,0.0036991368680641184,0.04111842105263158,0.4,0.2,1.12,1.0883333333333334,-0.3453815261044096,1.0183324838425707,-6.755097865017619,1.0322718707218776,-5.478720271249753,1.0155986233776688,-7.005427256984538,-0.0037719298245613153,0.08800449597067202
11b,11b_FE_02,published_FE,315,847,A,4,2,0.40098643649815047,1.1578947368421053,0.0036991368680641184,0.04111842105263158,0.4,0.40098643649815047,1.12,1.2292551426313996,6.16294413634814,1.0736920579573417,-7.272049540047768,1.129724950969598,-2.4328451435347302,1.0828181492922144,-6.483887106581485,0.07136040578929426,1.6001731606372933
11b,11b_FE_03,published_FE,396,840,A,4,2,0.5008631319358816,1.2154605263157896,0.0036991368680641184,0.04111842105263158,0.4,0.5008631319358816,1.12,1.3343411897547237,9.780709522445457,1.1149739492637982,-8.267366555833659,1.2023961651289636,-1.0748486605670078,1.1412342533714983,-6.106843565646699,0.11888066343893411,2.6152048998862165
11b,11b_FE_04,published_FE,558,820,B,4,2,0.7006165228113441,1.379934210526316,0.0036991368680641184,0.04111842105263158,0.4,0.7006165228113441,1.12,1.614340764042302,16.986791959203753,1.2249686850828065,-11.229921271710811,1.396027095063024,1.1662066505743172,1.540249995121704,11.617639694159225,0.23440655351598605,4.96817410501917
11b,11b_FE_05,published_FE,638,788,B,4,2,0.7992601726263873,1.643092105263158,0.0036991368680641184,0.04111842105263158,0.4,0.7992601726263873,1.12,1.7869529608045562,8.755495512429444,1.2927774774008354,-21.320449823853068,1.5153953486115408,-7.771734538957281,1.7411284502557525,5.966576351901647,0.14386085554139827,2.995038631921165
11b,11b_FE_06,published_FE,800,713,B,4,2,0.9990135635018496,2.259868421052632,0.0036991368680641184,0.04111842105263158,0.4,0.9990135635018496,1.12,2.2060327834041082,-2.382246556790564,1.4574083504698436,-35.509150139325705,1.8052058455489726,-20.118984418211415,2.265940209358147,0.26867884204899084,-0.053835637648523615,1.0819669928835616
11b,11b_FE_07,published_FE,963,646,B,4,2,1.2,2.8108552631578947,0.0036991368680641184,0.04111842105263158,0.4,1.2,1.12,2.7216666666666667,-3.1730056563292353,1.6599694183325484,-40.944329646214776,2.1617873459875945,-23.091474174344206,2.965517259268175,5.502310920716822,-0.08918859649122801,1.7331622045852713
10a,10a_line_01,published_Eq6b_line,211,156,A_model,2,2,0.399644128113879,1.4145051194539249,0.001601423487544484,0.0076791808873720125,0.399644128113879,0.6,1.0,1.4165616895354065,0.14539149086116998,1.1575397153024911,-18.166452748551112,1.2652016769648653,-10.55517158868246,,,0.0020565700814816346,0.2522644619145103
10a,10a_line_02,published_Eq6b_line,399,144,A_model,2,2,0.5,1.445221843003413,0.001601423487544484,0.0076791808873720125,0.5,0.6,1.0,1.4506666666666665,0.3767465659070272,1.1971,-17.168426024324,1.2836385368075973,-11.180519238487184,,,0.005444823663253606,0.6560075719622336
10a,10a_line_03,published_Eq6b_line,586,127,A_model,2,2,0.5998220640569395,1.4887372013651876,0.001601423487544484,0.0076791808873720125,0.5998220640569395,0.6,1.0,1.494417844652979,0.3815746179098754,1.2364498576512455,-16.946398832687997,1.299558030186243,-12.707358357503612,,,0.005680643287791387,0.6707305995478989
10a,10a_line_04,published_Eq6b_line,866,91,A_model,2,2,0.7492882562277581,1.5808873720136518,0.001601423487544484,0.0076791808873720125,0.7492882562277581,0.6,1.0,1.582054334678031,0.0738169388305433,1.2953694306049823,-18.060612442301416,1.3202350859111545,-16.487720170127748,,,0.001166962664379101,0.13283149427168178
10b,10b_line_01,published_Eq6b_line,217,626,A_model,2,2,0.39999999999999997,2.08477508650519,0.0016129032258064516,0.01660899653979239,0.39999999999999997,1.0,1.0,2.0833333333333335,-0.06915629322266924,1.438,-31.02373443983402,1.7368680591444026,-16.687988532326575,,,-0.0014417531718566856,0.08328687398403828
10b,10b_line_02,published_Eq6b_line,403,617,A_model,2,2,0.5,2.134602076124567,0.0016129032258064516,0.01660899653979239,0.5,1.0,1.0,2.1333333333333333,-0.059436969795201404,1.5474999999999999,-27.50405252066785,1.7878848244655485,-16.24271125457228,,,-0.001268742791233901,0.07238197646213597
10b,10b_line_03,published_Eq6b_line,590,604,A_model,2,2,0.6005376344086022,2.2065743944636678,0.0016129032258064516,0.01660899653979239,0.6005376344086022,1.0,1.0,2.1981919845511504,-0.37988340359377787,1.6575887096774193,-24.87954569597394,1.832403318524487,-16.957102234032185,,,-0.008382409912517375,0.47141758012052665
10b,10b_line_04,published_Eq6b_line,869,582,A_model,2,2,0.7505376344086021,2.3283737024221454,0.0016129032258064516,0.01660899653979239,0.7505376344086021,1.0,1.0,2.327819038916753,-0.0238219279325982,1.8218387096774191,-21.754883772213685,1.8899866178432392,-18.828037961555044,,,-0.0005546635053925719,0.03038948318693218
11a,11a_line_01,published_Eq6b_line,235,276.5,A_model,2,2,0.2987804878048781,1.2749221183800623,0.003658536585365854,0.02336448598130841,0.7,0.2987804878048781,1.0,1.2413330824990552,-2.634595117361831,1.0684252862879238,-16.196819328424308,1.0778046601809617,-15.461137222214125,,,-0.033589035881007145,1.2983209766792445
11a,11a_line_02,published_Eq6b_line,480,236.5,A_model,2,2,0.5975609756097562,1.5864485981308412,0.003658536585365854,0.02336448598130841,0.7,0.5975609756097562,1.0,1.5465289111928018,-2.516292490350641,1.2737011451516955,-19.713683339480756,1.3112186407238469,-17.348810275433515,,,-0.03991968693803938,1.4074798372966242
11a,11a_line_03,published_Eq6b_line,727,168.5,A_model,2,2,0.898780487804878,2.1160436137071654,0.003658536585365854,0.02336448598130841,0.7,0.898780487804878,1.0,2.060178194027093,-2.6400882911009504,1.6191835789708504,-23.480614081760336,1.7040579669443197,-19.469619817574305,,,-0.055865419680072304,1.8094496213692604
11a,11a_line_04,published_Eq6b_line,891,109,A_model,2,2,1.0987804878048781,2.5794392523364484,0.003658536585365854,0.02336448598130841,0.7,1.0987804878048781,1.0,2.515462746872622,-2.480248581387481,1.9254096765318263,-25.35549442430963,2.0522599073646797,-20.437749968108427,,,-0.0639765054638266,1.9659690457328913
11b,11b_line_01,published_Eq6b_line,233,833,A_model,2,2,0.2998766954377312,1.2730263157894737,0.0036991368680641184,0.024671052631578948,0.4,0.2998766954377312,1.12,1.1465803712110962,-9.932704690394507,1.0412141884305357,-18.209531451451458,1.0725520323573805,-15.74785068820577,,,-0.12644594457837743,4.635905757996373
11b,11b_line_02,published_Eq6b_line,477,794.5,A_model,2,2,0.6007398273736129,1.5896381578947367,0.0036991368680641184,0.024671052631578948,0.4,0.6007398273736129,1.12,1.462703063558358,-7.98515647765321,1.1653994916389532,-26.687750551838224,1.291163546493439,-18.776261120743822,,,-0.12693509433637873,4.249272540982616
11b,11b_line_03,published_Eq6b_line,718,732,A_model,2,2,0.8979038224414304,2.103618421052632,0.0036991368680641184,0.024671052631578948,0.4,0.8979038224414304,1.12,1.982269820080754,-5.768565237756193,1.369505545262176,-34.89762536986685,1.6504647864479254,-21.541627039848436,,,-0.12134860097187783,3.7410421393501125
11b,11b_line_04,published_Eq6b_line,881,675,A_model,2,2,1.0988902589395808,2.5723684210526314,0.0036991368680641184,0.024671052631578948,0.4,1.0988902589395808,1.12,2.450486434724349,-4.738123253682585,1.5534392636073955,-39.610545251068,1.974255344825353,-23.251454625715173,,,-0.12188198632828229,3.5667324139812853
