d,r,s,exact_work_ratio,eq6b_ratio,rounding_difference_percent,relative_work_residual
0.4,0.5,0.8,1.2497942615928306,1.25,0.016461782030204864,4.941587584955367e-17
0.4,0.5,1.0,1.3018690224925318,1.3020833333333335,0.01646178203022192,-9.487848163114307e-17
0.4,0.5,1.12,1.3331138790323525,1.3333333333333335,0.016461782030228186,0.0
0.4,0.5,1.4,1.4060185442919342,1.4062500000000002,0.01646178203023645,-8.785044595476211e-17
0.4,0.7,0.8,1.4497613434476833,1.45,0.016461782030216508,-4.2599892973753177e-17
0.4,0.7,1.0,1.5518278748110976,1.5520833333333335,0.016461782030236346,-1.193940624552975e-16
0.4,0.7,1.12,1.6130677936291464,1.6133333333333333,0.01646178203021676,0.0
0.4,0.7,1.4,1.7559609375379266,1.75625,0.01646178203023117,-3.517144188580333e-17
0.4,1.0,0.8,1.8746913923892459,1.8750000000000002,0.01646178203021671,0.0
0.4,1.0,1.0,2.0829904359880507,2.0833333333333335,0.016461782030226187,-1.4824762754866106e-16
0.4,1.0,1.12,2.2079698621473334,2.2083333333333335,0.01646178203024107,-2.7971250480879443e-17
0.4,1.0,1.4,2.499588523185661,2.5,0.016461782030204864,4.941587584955367e-17
0.4,1.2,0.8,2.2412977091231423,2.2416666666666667,0.01646178203023023,-2.755532110569908e-17
0.4,1.2,1.0,2.541248331905422,2.5416666666666665,0.016461782030197873,0.0
0.4,1.2,1.12,2.7212187055747896,2.7216666666666667,0.016461782030211262,-9.078238061767364e-17
0.4,1.2,1.4,3.1411495774699802,3.1416666666666666,0.0164617820302224,-3.9322978129618316e-17
0.55,0.3,0.8,1.159327777675322,1.1597025016903315,0.03232252536560388,1.5981591899453002e-16
0.55,0.3,1.0,1.178794102300467,1.1791751183231916,0.032322525365615265,1.0478450468632185e-16
0.55,0.3,1.12,1.1904738970755544,1.1908586883029075,0.03232252536560326,1.0375645903714645e-16
0.55,0.3,1.4,1.2177267515507577,1.2181203515889114,0.03232252536560048,5.07171892131842e-17
0.55,0.5,0.8,1.2977549750096888,1.2981744421906694,0.03232252536557476,9.5179258423409e-17
0.55,0.5,1.0,1.3518280989684257,1.352265043948614,0.03232252536558708,4.568604404323632e-17
0.55,0.5,1.12,1.384271973343668,1.3847194050033809,0.032322525365603635,0.0
0.55,0.5,1.4,1.4599743468858997,1.4604462474645032,0.032322525365608985,0.0
0.55,0.7,0.8,1.5053957710112387,1.5058823529411764,0.03232252536560014,4.102554242388319e-17
0.55,0.7,1.0,1.6113790939703634,1.6118999323867478,0.03232252536559061,7.66544363141549e-17
0.55,0.7,1.12,1.674969087745838,1.6755104800540908,0.03232252536560404,3.687213007105204e-17
0.55,0.7,1.4,1.8233457398886121,1.8239350912778904,0.03232252536561143,-6.774324442947262e-17
0.55,1.0,0.8,1.9466324625145333,1.9472616632860043,0.03232252536558616,9.5179258423409e-17
0.55,1.0,1.0,2.162924958349481,2.1636240703177823,0.032322525365595295,5.71075550540454e-17
0.55,1.0,1.12,2.29270045585045,2.2934415145368496,0.032322525365615445,5.387505193777868e-17
0.55,1.0,1.4,2.5955099500193777,2.5963488843813387,0.03232252536557476,9.5179258423409e-17
0.55,1.2,0.8,2.3273072551840417,2.328059499661934,0.03232252536560644,1.5922180777150203e-16
0.55,1.2,1.0,2.638768449186367,2.6396213657876944,0.032322525365586545,0.0
0.55,1.2,1.12,2.825645165587762,2.826558485463151,0.03232252536560186,8.742736536136773e-17
0.55,1.2,1.4,3.261690837191017,3.262745098039216,0.032322525365612614,7.573946293639975e-17
0.7,0.3,0.8,1.2209790028351921,1.2216524216524216,0.055154004750758656,0.0
0.7,0.3,1.0,1.241480515942499,1.2421652421652423,0.05515400475079994,4.9746796083601525e-17
0.7,0.3,1.12,1.2537814238068836,1.2544729344729344,0.05515400475077447,-9.85174559068417e-17
0.7,0.3,1.4,1.282483542157114,1.283190883190883,0.05515400475075734,4.815631237222528e-17
0.7,0.5,0.8,1.366767540487155,1.3675213675213673,0.05515400475076715,-4.5186673109271385e-17
0.7,0.5,1.0,1.4237161880074534,1.4245014245014245,0.055154004750769745,-1.7351682473960213e-16
