quantity,calculated,printed_analytical,experimental_reference,vs_printed_percent,vs_experiment_percent
single_pressure_Pa,578769.223126549,578000.0,1020000.0,0.13308358590813857,-43.25791930131872
PiP_pressure_Pa,1166761.2795568774,1165000.0,1570000.0,0.15118279458175496,-25.683994932682964
PiP_single_ratio,2.0159352517985614,2.015,1.5392156862745099,0.046414481318175826,30.971589607295062
