panel,x,eq6b,eq12a,eq12b,eq16A,eq16B
10a,0.48531250000000004,1.445089861674702,1.1913101875,1.281112837107249,1.230100876805817,1.3118832697972747
10a,0.48750000000000004,1.4459072220607168,1.1921725,1.2814923657735358,1.2305151803027254,1.3107631855487636
10a,0.4896875,1.4467291897305226,1.1930348124999999,1.2818707041954305,1.2309283698624862,1.3096521117546602
10a,0.491875,1.4475557788257338,1.193897125,1.282247861397745,1.2313404534362635,1.3085499361635637
10a,0.4940625,1.4483870035908846,1.1947594375,1.2826238462970927,1.2317514388834048,1.3074565484135194
10a,0.49625,1.4492228783740864,1.19562175,1.2829986677036567,1.232161333972902,1.306371839992023
10a,0.4984375,1.4500634176276925,1.1964840625,1.283372334322925,1.2325701463848242,1.305295704197043
10a,0.500625,1.4509086359089678,1.197346375,1.2837448547573869,1.2329778837117202,1.304228036099032
10a,0.5028125,1.4517585478807642,1.1982086875,1.2841162375081954,1.2333845534599939,1.303168732503896
10a,0.505,1.4526131683122048,1.199071,1.2844864909767968,1.2337901630512507,1.3021176919168964
10a,0.5071875,1.4534725120793732,1.1999333125,1.2848556234665258,1.2341947198236198,1.3010748145074515
10a,0.509375,1.4543365941660074,1.200795625,1.2852236431841688,1.2345982310330474,1.30004000207482
10a,0.5115625,1.4552054296642043,1.2016579375,1.2855905582414966,1.2350007038545658,1.299013158014632
10a,0.51375,1.4560790337751282,1.20252025,1.2859563766567634,1.235402145383538,1.2979941872862502
10a,0.5159375,1.4569574218097259,1.2033825625,1.2863211063561804,1.2358025626368765,1.2969829963809298
10a,0.5181250000000001,1.4578406091894498,1.204244875,1.2866847551753562,1.23620196255424,1.2959794932907636
10a,0.5203125,1.4587286114469877,1.2051071875,1.2870473308607098,1.236600351999206,1.2949835874783802
10a,0.5225,1.4596214442269992,1.2059695,1.2874088410708566,1.23699773776042,1.2939951898473812
10a,0.5246875,1.460519123286858,1.2068318125,1.2877692933779674,1.2373941265527248,1.2930142127134918
10a,0.526875,1.4614216644974036,1.207694125,1.2881286952690973,1.2377895250182656,1.2920405697764077
10a,0.5290625,1.462329083843699,1.2085564375,1.2884870541474944,1.2381839397275765,1.291074176092316
10a,0.53125,1.4632413974257945,1.20941875,1.2888443773338776,1.2385773771806432,1.2901149480470742
10a,0.5334375,1.4641586214595004,1.2102810625,1.2892006720676936,1.2389698438079502,1.2891628033300269
10a,0.535625,1.465080772277167,1.211143375,1.2895559455083485,1.2393613459715025,1.2882176609084415
10a,0.5378125,1.4660078663284712,1.2120056875,1.2899102047364137,1.2397518899658337,1.2872794410025494
10a,0.54,1.46693992018121,1.212868,1.290263456754813,1.240141482018992,1.2863480650611732
10a,0.5421875,1.4678769505221043,1.2137303125,1.2906157084899832,1.2405301282935075,1.2854234557379227
10a,0.544375,1.4688189741576074,1.214592625,1.2909669667930146,1.2409178348873446,1.2845055368679488
10a,0.5465625000000001,1.4697660080147226,1.2154549375,1.29131723844077,1.241304607834833,1.2835942334452355
10a,0.5487500000000001,1.470718069141829,1.21631725,1.2916665301369823,1.2416904531075852,1.2826894716004171
10a,0.5509375,1.4716751747095138,1.2171795625,1.2920148485133316,1.242075376615394,1.281791178579107
10a,0.553125,1.472637342011415,1.218041875,1.2923622001305015,1.2424593842071159,1.2808992827207233
10a,0.5553125,1.4736045884650686,1.2189041875,1.2927085914792185,1.242842481671538,1.2800137134377991
10a,0.5575,1.4745769316127677,1.2197665,1.2930540289812678,1.2432246747382276,1.2791344011957637
10a,0.5596875,1.4755543891224272,1.2206288125,1.2933985189904944,1.2436059690783687,1.2782612774931805
10a,0.561875,1.476536978788458,1.221491125,1.293742067793784,1.2439863703055827,1.2773942748424352
10a,0.5640625,1.4775247185326497,1.2223534375,1.2940846816120264,1.2443658839767335,1.2765333267508538
10a,0.56625,1.478517626405061,1.22321575,1.29442636660106,1.2447445155927195,1.2756783677022476
10a,0.5684375,1.4795157205849188,1.2240780625,1.294767128852602,1.2451222705992504,1.274829333138869
10a,0.5706249999999999,1.4805190193815272,1.2249403749999999,1.295106974395159,1.245499154387612,1.2739861594437674
