point,pdf_x_pt,pdf_y_pt,step,displacement_mm
0,338.82000732421875,333.7799987792969,0.0,0.0
1,339.17999267578125,333.7799987792969,0.08615388211028807,0.0
2,339.6000061035156,333.7799987792969,0.18667404822455516,0.0
3,340.0199890136719,333.7799987792969,0.28718691068655794,0.0
4,340.3800048828125,333.7799987792969,0.3733480964491103,0.0
5,340.79998779296875,333.7799987792969,0.4738609589111131,0.0
6,341.6400146484375,333.7799987792969,0.6749012911396473,0.0
7,342.0,333.7799987792969,0.7610551732499354,0.0
8,342.4200134277344,333.7799987792969,0.8615753393642024,0.0
9,342.8399963378906,333.7799987792969,0.9620882018262052,0.0
10,343.20001220703125,333.7799987792969,1.0482493875887577,0.0
11,343.6199951171875,333.7799987792969,1.1487622500507604,0.0
12,344.0400085449219,333.7799987792969,1.2492824161650273,0.0
13,344.82000732421875,333.7799987792969,1.4359564643895828,0.0
14,345.239990234375,333.7799987792969,1.5364693268515854,0.0
15,345.6600036621094,333.7799987792969,1.6369894929658526,0.0
16,346.0199890136719,333.7799987792969,1.7231433750761405,0.0
17,346.44000244140625,333.7799987792969,1.8236635411904079,0.0
18,346.8599853515625,333.7799987792969,1.9241764036524105,0.0
19,347.2200012207031,333.7799987792969,2.010337589414963,0.0
20,347.6400146484375,333.7799987792969,2.1108577555292296,0.0
21,348.05999755859375,333.7799987792969,2.211370617991233,0.0
22,348.4800109863281,333.7799987792969,2.3118907841054996,0.0
23,348.8399963378906,333.3599853515625,2.398044666215788,1.8970799331866175
24,349.260009765625,333.0,2.4985648323300547,3.523030299521671
25,349.67999267578125,332.1600036621094,2.5990776947920575,7.31705232676585
26,350.0400085449219,331.739990234375,2.68523888055461,9.214132259952468
27,350.4599914550781,330.5400085449219,2.785751743016613,14.6341046535317
28,350.8800048828125,329.760009765625,2.8862719091308797,18.157134953053372
29,351.29998779296875,328.1400146484375,2.9867847715928826,25.474187279819223
30,351.6600036621094,327.719970703125,3.072945957355435,27.371405052134897
31,352.0799865722656,327.3599853515625,3.173458819817438,28.997355418469947
32,352.5,326.52001953125,3.273978985931705,32.79123960658507
33,352.8599853515625,325.739990234375,3.360132868041993,36.3144077452358
34,353.2799987792969,324.53997802734375,3.4606530341562602,41.73451797794409
35,353.70001220703125,323.70001220703125,3.5611732002705274,45.52840216605921
36,354.1199951171875,322.5,3.66168606273253,50.9485123987675
37,354.4800109863281,321.29998779296875,3.747847248495082,56.36862263147579
38,354.8999938964844,319.67999267578125,3.8483601109570853,63.685674958241634
39,355.67999267578125,318.47998046875,4.035034159181641,69.10578519094993
40,377.0400085449219,318.47998046875,9.147042970307732,69.10578519094993
41,377.82000732421875,318.05999755859375,9.333717018532289,71.0027272850075
42,378.239990234375,318.05999755859375,9.43422988099429,71.0027272850075
43,378.6600036621094,317.70001220703125,9.534750047108558,72.62867765134254
44,379.0799865722656,317.280029296875,9.63526290957056,74.5256197454001
45,379.44000244140625,316.8599853515625,9.721424095333113,76.42283751771578
46,379.8599853515625,316.44000244140625,9.821936957795115,78.31977961177333
47,380.2799987792969,316.08001708984375,9.922457123909382,79.94572997810839
48,380.6400146484375,315.239990234375,10.008618309671935,83.73988984448162
49,381.05999755859375,314.03997802734375,10.109131172133937,89.1600000771899
50,381.4800109863281,312.41998291015625,10.209651338248204,96.47705240395577
51,381.8999938964844,311.219970703125,10.310164200710208,101.89716263666405
52,382.260009765625,309.5999755859375,10.39632538647276,109.2142149634299
53,382.67999267578125,308.03997802734375,10.496838248934761,116.26027556247324
54,383.1000061035156,306.41998291015625,10.59735841504903,123.57732788923909
55,383.4599914550781,304.3800048828125,10.683512297159318,132.7913223100625
56,383.8800048828125,302.760009765625,10.784032463273585,140.10837463682836
57,384.29998779296875,301.20001220703125,10.884545325735587,147.1544352358717
58,384.7200012207031,299.15997314453125,10.985065491849856,156.36870533495323
59,385.0799865722656,298.3800048828125,11.071219373960142,159.89159779534583
60,385.5,297.96002197265625,11.17173954007441,161.78853988940338
61,385.9200134277344,297.1199951171875,11.272259706188677,165.58269975577664
62,386.2799987792969,296.34002685546875,11.358413588298964,169.10559221616924
63,386.70001220703125,295.55999755859375,11.458933754413232,172.62876035481997
