mass_ratio,gamma,zeta_t,positive_frequency_integral,two_sided_integral
0.853,0.01,0.9505,0.009837722505670665,0.01967544501134133
0.853,0.01,0.9670000000000001,0.009815347624125623,0.019630695248251246
0.853,0.01,0.9835,0.009793094736800243,0.019586189473600486
0.853,0.01,1.0,0.009770962865732067,0.019541925731464134
0.853,0.026500000000000003,0.01,0.012384721863347246,0.02476944372669449
0.853,0.026500000000000003,0.026500000000000003,0.011619981352215382,0.023239962704430763
0.853,0.026500000000000003,0.043000000000000003,0.011381383428440674,0.022762766856881347
0.853,0.026500000000000003,0.059500000000000004,0.011232252625116908,0.022464505250233816
0.853,0.026500000000000003,0.076,0.011115104560321516,0.02223020912064303
0.853,0.026500000000000003,0.0925,0.01101345206065197,0.02202690412130394
0.853,0.026500000000000003,0.109,0.010920775936262969,0.021841551872525938
0.853,0.026500000000000003,0.1255,0.010833972818268865,0.02166794563653773
0.853,0.026500000000000003,0.14200000000000002,0.01075137101089865,0.0215027420217973
0.853,0.026500000000000003,0.15850000000000003,0.010671985633228246,0.021343971266456492
0.853,0.026500000000000003,0.17500000000000002,0.01059519512368217,0.02119039024736434
0.853,0.026500000000000003,0.1915,0.010520584971035491,0.021041169942070982
0.853,0.026500000000000003,0.20800000000000002,0.010447865813798012,0.020895731627596024
0.853,0.026500000000000003,0.22450000000000003,0.01037682764772403,0.02075365529544806
0.853,0.026500000000000003,0.24100000000000002,0.010307312836929884,0.020614625673859768
0.853,0.026500000000000003,0.2575,0.01023919949472181,0.02047839898944362
0.853,0.026500000000000003,0.274,0.01017239086327269,0.02034478172654538
0.853,0.026500000000000003,0.29050000000000004,0.010106808307301785,0.02021361661460357
0.853,0.026500000000000003,0.30700000000000005,0.010042386562326625,0.02008477312465325
0.853,0.026500000000000003,0.3235,0.00997907043276471,0.01995814086552942
0.853,0.026500000000000003,0.34,0.009916812447498913,0.019833624894997827
0.853,0.026500000000000003,0.35650000000000004,0.009855571162923755,0.01971114232584751
0.853,0.026500000000000003,0.373,0.00979530991309384,0.01959061982618768
0.853,0.026500000000000003,0.3895,0.009735995874549782,0.019471991749099565
0.853,0.026500000000000003,0.406,0.009677599356429251,0.019355198712858502
0.853,0.026500000000000003,0.42250000000000004,0.009620093254370798,0.019240186508741597
0.853,0.026500000000000003,0.43900000000000006,0.009563452625254534,0.019126905250509068
0.853,0.026500000000000003,0.4555,0.009507654352197916,0.01901530870439583
0.853,0.026500000000000003,0.47200000000000003,0.009452676877848818,0.018905353755697636
0.853,0.026500000000000003,0.48850000000000005,0.009398499989875731,0.018796999979751462
0.853,0.026500000000000003,0.505,0.00934510464680958,0.01869020929361916
0.853,0.026500000000000003,0.5215000000000001,0.009292472835366909,0.018584945670733818
0.853,0.026500000000000003,0.538,0.009240587452556674,0.01848117490511335
0.853,0.026500000000000003,0.5545,0.009189432207466671,0.018378864414933343
0.853,0.026500000000000003,0.5710000000000001,0.00913899153881298,0.01827798307762596
0.853,0.026500000000000003,0.5875,0.009089250545181851,0.018178501090363702
0.853,0.026500000000000003,0.6040000000000001,0.009040194925615141,0.018080389851230283
0.853,0.026500000000000003,0.6205,0.008991810928627289,0.017983621857254578
0.853,0.026500000000000003,0.637,0.008944085308187072,0.017888170616374145
0.853,0.026500000000000003,0.6535000000000001,0.008897005285459558,0.017794010570919117
0.853,0.026500000000000003,0.67,0.008850558515352165,0.01770111703070433
0.853,0.026500000000000003,0.6865,0.00880473305709101,0.01760946611418202
0.853,0.026500000000000003,0.7030000000000001,0.00875951734819759,0.01751903469639518
0.853,0.026500000000000003,0.7195,0.00871490018134423,0.01742980036268846
0.853,0.026500000000000003,0.736,0.00867087068366129,0.01734174136732258
0.853,0.026500000000000003,0.7525000000000001,0.008627418298157906,0.017254836596315812
0.853,0.026500000000000003,0.769,0.008584532766939483,0.017169065533878966
0.853,0.026500000000000003,0.7855000000000001,0.008542204116003019,0.017084408232006038
0.853,0.026500000000000003,0.802,0.00850042264138914,0.01700084528277828
0.853,0.026500000000000003,0.8185,0.008459178896518697,0.016918357793037395
0.853,0.026500000000000003,0.8350000000000001,0.008418463680577143,0.016836927361154285
0.853,0.026500000000000003,0.8515,0.008378268027811374,0.01675653605562275
0.853,0.026500000000000003,0.8680000000000001,0.008338583197641641,0.016677166395283282
0.853,0.026500000000000003,0.8845000000000001,0.008299400665487303,0.016598801330974605
0.853,0.026500000000000003,0.901,0.008260712114241512,0.016521424228483024
0.853,0.026500000000000003,0.9175000000000001,0.008222509426313628,0.016445018852627256
0.853,0.026500000000000003,0.934,0.008184784676191324,0.016369569352382648
0.853,0.026500000000000003,0.9505,0.008147530123465176,0.01629506024693035
0.853,0.026500000000000003,0.9670000000000001,0.008110738206270595,0.01622147641254119
0.853,0.026500000000000003,0.9835,0.008074401535117376,0.016148803070234752
0.853,0.026500000000000003,1.0,0.008038512887060914,0.016077025774121827
0.853,0.043000000000000003,0.01,0.013014470858419308,0.026028941716838616
0.853,0.043000000000000003,0.026500000000000003,0.011769338583132472,0.023538677166264944
0.853,0.043000000000000003,0.043000000000000003,0.011383547905390281,0.022767095810780562
0.853,0.043000000000000003,0.059500000000000004,0.011144850305256863,0.022289700610513725
0.853,0.043000000000000003,0.076,0.010959407625933885,0.02191881525186777
0.853,0.043000000000000003,0.0925,0.010800261492516573,0.021600522985033146
0.853,0.043000000000000003,0.109,0.010656718291425617,0.021313436582851234
0.853,0.043000000000000003,0.1255,0.0105236602583111,0.0210473205166222
0.853,0.043000000000000003,0.14200000000000002,0.010398308356533137,0.020796616713066273
0.853,0.043000000000000003,0.15850000000000003,0.010279006904440117,0.020558013808880234
0.853,0.043000000000000003,0.17500000000000002,0.010164695632076266,0.020329391264152532
0.853,0.043000000000000003,0.1915,0.010054654570693532,0.020109309141387064
0.853,0.043000000000000003,0.20800000000000002,0.009948370282904033,0.019896740565808067
0.853,0.043000000000000003,0.22450000000000003,0.009845461012881604,0.019690922025763207
0.853,0.043000000000000003,0.24100000000000002,0.009745632523946756,0.019491265047893513
0.853,0.043000000000000003,0.2575,0.009648650863047,0.019297301726094
0.853,0.043000000000000003,0.274,0.009554324920371494,0.019108649840742988
0.853,0.043000000000000003,0.29050000000000004,0.009462494892662413,0.018924989785324826
0.853,0.043000000000000003,0.30700000000000005,0.009373024431727408,0.018746048863454816
0.853,0.043000000000000003,0.3235,0.00928579516468724,0.01857159032937448
0.853,0.043000000000000003,0.34,0.009200702782266625,0.01840140556453325
0.853,0.043000000000000003,0.35650000000000004,0.009117654188852879,0.018235308377705758
0.853,0.043000000000000003,0.373,0.009036565387096922,0.018073130774193844
