mass_ratio,gamma,zeta_t,state_space_integral,direct_Eq17_18_quadrature,quadrature_error_estimate,relative_difference
0.853,0.2,0.1,0.008639625177147149,0.008639625177147293,4.73880622818131e-12,1.6665311926601268e-14
0.853,0.5,0.5,0.005495447923175369,0.005495447923175247,2.658164223514587e-13,2.2254419797267208e-14
0.853,0.95,0.15,0.020675340185725453,0.020675340185724842,1.485096537110989e-13,2.953386295261147e-14
0.01,0.2,0.1,0.011294806107598738,0.011294806107597529,9.48695435847999e-12,1.0704940405682521e-13
0.01,0.5,0.5,0.0107486895706654,0.010748689570665163,7.476805149246744e-12,2.2110333975726712e-14
0.01,0.95,0.15,0.00934791403803365,0.009347914038034517,4.105354500612646e-12,9.278666175784118e-14
