D_over_t,drawing_index,pdf_x_pt,pdf_y_pt,diameter_ratio,pressure_ratio,symbol_halfwidth_ratio,symbol_halfheight_ratio,equation8_ratio,relative_difference_percent
15,67,420.20594787597656,196.60348510742188,0.3996732341471861,1.2891854193701964,0.01017525839529798,0.034768629933498454,1.291404456344203,0.1721270610623861
15,69,429.8105163574219,193.1624755859375,0.44976642826740115,1.3504914519933315,0.010178202970570557,0.034786572366885565,1.3590540846960875,0.6340382747419422
15,71,439.4410095214844,188.97598266601562,0.4999948341008084,1.4250792350037482,0.010045140001496214,0.034314088287691696,1.4411370362620097,1.1268005921242177
15,73,448.9679870605469,183.81500244140625,0.5496833480788327,1.5170287690116546,0.010180749630265759,0.03475938686175358,1.5413014212687712,1.6000126532162118
15,75,458.57350158691406,177.47247314453125,0.5997814763522071,1.6300291270634606,0.010183375873076437,0.03432333135943657,1.6689701404431745,2.388976536257799
15,77,468.1260070800781,168.68972778320312,0.6496031328824212,1.786505088632437,0.010180749630265759,0.03431843796851282,1.8346219903483179,2.6933537453685177
15,79,477.73150634765625,155.71975708007812,0.6997011815726802,2.0175818822542935,0.010178202970570557,0.03476319283247206,2.0611019361724585,2.157040281782221
15,81,487.3599853515625,136.04776000976562,0.7499190824348447,2.368063938937051,0.010045140001496214,0.03476319283247206,2.3881856600126476,0.8497118994442618
15,83,496.8894958496094,112.1651611328125,0.7996208072100379,2.7935633096113106,0.0101729504849492,0.03477461074462749,2.893733270018587,3.5857415531854886
20,85,420.20550537109375,195.96099853515625,0.3996709262368373,1.3006321481610692,0.0115237942870233,0.03891088535045872,1.2914016097721701,-0.709696312054866
20,86,429.8360137939453,192.2624969482422,0.44989941165336006,1.3665257347752264,0.011385558415443076,0.03890191413376516,1.3592507715061932,-0.5323692839366713
20,87,439.44049072265625,187.7430191040039,0.49999212827488226,1.4470460746430702,0.011382932172632398,0.03887513641121016,1.4411321493318743,-0.408689496127805
20,88,448.96849060058594,182.14746856689453,0.5496859743216433,1.5467380405125652,0.011513368898896063,0.038884107627903716,1.541307330261363,-0.35110730511306804
20,89,458.5975036621094,175.3404998779297,0.5999066605928495,1.6680129866889188,0.011382932172632398,0.039347212707827046,1.6693315866823402,0.07905214191640088
20,90,468.1260223388672,166.71099853515625,0.6496032124655367,1.82175870797749,0.011515915558591265,0.039356183924520595,1.8346222951569038,0.7061081757471018
20,91,477.7565002441406,154.23001861572266,0.6998315387158285,2.044123498697225,0.011382932172632398,0.03933837741865915,2.06179784186864,0.8646416511859064
20,92,487.36151123046875,135.739990234375,0.7499270407463923,2.3735472553221717,0.011388184658253754,0.03933824149113349,2.38824893399231,0.6193969231989385
20,93,496.8894958496094,104.43497467041016,0.7996208072100379,2.931286573812719,0.011518541801401943,0.038892942917071606,2.893733270018587,-1.281120178750947
25,94,420.2054901123047,194.3949737548828,0.3996708466537219,1.3285329039330747,0.013933332274262456,0.04028266593941858,1.2914015116149193,-2.7949170252561415
25,95,429.8110046386719,190.2864761352539,0.4497689749270964,1.40173109984867,0.013930706031451778,0.04025588821686358,1.3590578503587576,-3.044324941817974
25,96,439.4150085449219,185.406494140625,0.49985922447203884,1.4886742871589962,0.013930706031451778,0.040273694722725024,1.4408921829693575,-3.2097084366807076
25,97,448.96800231933594,179.603515625,0.5496834276619481,1.5920618505961333,0.013925533128945898,0.040273694722725024,1.5413016003280868,-3.1883340618355818
25,98,458.57350158691406,172.28398895263672,0.5997814763522071,1.7224686798013713,0.0139280797886411,0.039801618426108146,1.6689701404431745,-3.1059223302896903
25,99,468.1255187988281,163.01201629638672,0.649600586222726,1.8876608580257637,0.013928159371756576,0.040264859433557135,1.8346122365516715,-2.810283491790671
25,100,477.73150634765625,150.42950439453125,0.6997011815726802,2.1118345722569813,0.013928159371756576,0.040273694722725024,2.0611019361724585,-2.4023016173233365
25,101,487.3354949951172,131.220458984375,0.7497913515345073,2.454068546682695,0.013933332274262456,0.040273694722725024,2.387170717747714,-2.725996754467625
25,102,496.8894805908203,101.2249641418457,0.7996207276269224,2.988477060777686,0.013933332274262456,0.04026479146979431,2.8937322343688066,-3.1703380846505214
