D_over_t,drawing_index,pdf_x_pt,pdf_y_pt,diameter_ratio,pressure_ratio,symbol_halfwidth_ratio,symbol_halfheight_ratio
15,67,420.20594787597656,196.60348510742188,0.3996732341471861,1.2891854193701964,0.01017525839529798,0.034768629933498454
15,69,429.8105163574219,193.1624755859375,0.44976642826740115,1.3504914519933315,0.010178202970570557,0.034786572366885565
15,71,439.4410095214844,188.97598266601562,0.4999948341008084,1.4250792350037482,0.010045140001496214,0.034314088287691696
15,73,448.9679870605469,183.81500244140625,0.5496833480788327,1.5170287690116546,0.010180749630265759,0.03475938686175358
15,75,458.57350158691406,177.47247314453125,0.5997814763522071,1.6300291270634606,0.010183375873076437,0.03432333135943657
15,77,468.1260070800781,168.68972778320312,0.6496031328824212,1.786505088632437,0.010180749630265759,0.03431843796851282
15,79,477.73150634765625,155.71975708007812,0.6997011815726802,2.0175818822542935,0.010178202970570557,0.03476319283247206
15,81,487.3599853515625,136.04776000976562,0.7499190824348447,2.368063938937051,0.010045140001496214,0.03476319283247206
15,83,496.8894958496094,112.1651611328125,0.7996208072100379,2.7935633096113106,0.0101729504849492,0.03477461074462749
20,85,420.20550537109375,195.96099853515625,0.3996709262368373,1.3006321481610692,0.0115237942870233,0.03891088535045872
20,86,429.8360137939453,192.2624969482422,0.44989941165336006,1.3665257347752264,0.011385558415443076,0.03890191413376516
20,87,439.44049072265625,187.7430191040039,0.49999212827488226,1.4470460746430702,0.011382932172632398,0.03887513641121016
20,88,448.96849060058594,182.14746856689453,0.5496859743216433,1.5467380405125652,0.011513368898896063,0.038884107627903716
20,89,458.5975036621094,175.3404998779297,0.5999066605928495,1.6680129866889188,0.011382932172632398,0.039347212707827046
20,90,468.1260223388672,166.71099853515625,0.6496032124655367,1.82175870797749,0.011515915558591265,0.039356183924520595
20,91,477.7565002441406,154.23001861572266,0.6998315387158285,2.044123498697225,0.011382932172632398,0.03933837741865915
20,92,487.36151123046875,135.739990234375,0.7499270407463923,2.3735472553221717,0.011388184658253754,0.03933824149113349
20,93,496.8894958496094,104.43497467041016,0.7996208072100379,2.931286573812719,0.011518541801401943,0.038892942917071606
25,94,420.2054901123047,194.3949737548828,0.3996708466537219,1.3285329039330747,0.013933332274262456,0.04028266593941858
25,95,429.8110046386719,190.2864761352539,0.4497689749270964,1.40173109984867,0.013930706031451778,0.04025588821686358
25,96,439.4150085449219,185.406494140625,0.49985922447203884,1.4886742871589962,0.013930706031451778,0.040273694722725024
25,97,448.96800231933594,179.603515625,0.5496834276619481,1.5920618505961333,0.013925533128945898,0.040273694722725024
25,98,458.57350158691406,172.28398895263672,0.5997814763522071,1.7224686798013713,0.0139280797886411,0.039801618426108146
25,99,468.1255187988281,163.01201629638672,0.649600586222726,1.8876608580257637,0.013928159371756576,0.040264859433557135
25,100,477.73150634765625,150.42950439453125,0.6997011815726802,2.1118345722569813,0.013928159371756576,0.040273694722725024
25,101,487.3354949951172,131.220458984375,0.7497913515345073,2.454068546682695,0.013933332274262456,0.040273694722725024
25,102,496.8894805908203,101.2249641418457,0.7996207276269224,2.988477060777686,0.013933332274262456,0.04026479146979431
