L_m,T_eq11_C,T_independent_C,T_beta004_n1_C,T_beta004_n2_C,T_beta004_n3_C,T_beta004_n4_C
10,94.76,94.40482226400333,94.76,213.20999999999998,379.04,592.25
20,23.69,23.601205566000832,23.69,53.302499999999995,94.76,148.0625
30,10.528888888888888,10.48942469600037,10.528888888888888,23.69,42.11555555555555,65.80555555555556
50,3.7904,3.7761928905601327,3.7904,8.528399999999998,15.1616,23.69
75,1.6846222222222222,1.6783079513600592,1.6846222222222222,3.7904,6.738488888888889,10.528888888888888
100,0.9476,0.9440482226400332,0.9476,2.1320999999999994,3.7904,5.9225
150,0.42115555555555556,0.4195769878400148,0.42115555555555556,0.9476,1.6846222222222222,2.632222222222222
200,0.2369,0.2360120556600083,0.2369,0.5330249999999999,0.9476,1.480625
300,0.10528888888888889,0.1048942469600037,0.10528888888888889,0.2369,0.42115555555555556,0.6580555555555555
